st,group,bills
tx,0,18
tx,0,29
tx,0,41
tx,0,53
tx,0,60
tx,0,67
tx,0,75
tx,0,79
tx,0,79
tx,0,88
tx,0,93
tx,0,101
tx,0,103
tx,0,106
tx,0,107
tx,0,131
tx,1,29
tx,1,37
tx,1,42
tx,1,45
tx,1,45
tx,1,54
tx,1,54
tx,1,58
tx,1,61
tx,1,64
tx,1,69
tx,1,73
tx,1,75
tx,1,92
tx,1,104
ar,0,11
ar,0,15
ar,0,23
ar,0,24
ar,0,25
ar,0,26
ar,0,28
ar,0,31
ar,0,33
ar,0,34
ar,0,35
ar,0,35
ar,0,36
ar,0,38
ar,0,52
ar,0,59
ar,1,9
ar,1,10
ar,1,14
ar,1,15
ar,1,15
ar,1,17
ar,1,18
ar,1,19
ar,1,19
ar,1,20
ar,1,21
ar,1,23
ar,1,23
ar,1,24
ar,1,28
ar,1,30
ar,1,32
ar,1,34
