"","prob","group","power","team"
"Brazil",0.7657,"A",1210,"Brazil"
"Cameroon",0.2053,"A",583,"Cameroon"
"Croatia",0.5121,"A",871,"Croatia"
"Mexico",0.5172,"A",877,"Mexico"
"Australia",0.143,"B",545,"Australia"
"Chile",0.5708,"B",1037,"Chile"
"Netherlands",0.5057,"B",967,"Netherlands"
"Spain",0.7805,"B",1460,"Spain"
"Colombia",0.7332,"C",1186,"Colombia"
"Cote d`Ivoire",0.4122,"C",830,"Cote d`Ivoire"
"Greece",0.6634,"C",1082,"Greece"
"Japan",0.1915,"C",613,"Japan"
"Costa Rica",0.2437,"D",748,"Costa Rica"
"England",0.5223,"D",1043,"England"
"Italy",0.5892,"D",1115,"Italy"
"Uruguay",0.645,"D",1181,"Uruguay"
"Ecuador",0.3877,"E",794,"Ecuador"
"France",0.5465,"E",935,"France"
"Honduras",0.3431,"E",759,"Honduras"
"Switzerland",0.7229,"E",1161,"Switzerland"
"Argentina",0.8079,"F",1178,"Argentina"
"Bosnia and Herzegovina",0.5166,"F",795,"Bosnia and Herzegovina"
"Iran",0.384,"F",715,"Iran"
"Nigeria",0.2919,"F",631,"Nigeria"
"Germany",0.7027,"G",1340,"Germany"
"Ghana",0.1849,"G",713,"Ghana"
"Portugal",0.6678,"G",1245,"Portugal"
"United States",0.4447,"G",1015,"United States"
"Algeria",0.4652,"H",795,"Algeria"
"Belgium",0.7161,"H",1039,"Belgium"
"Korea Republic",0.1953,"H",551,"Korea Republic"
"Russia",0.6236,"H",903,"Russia"
