"team","group","prob_vn","power","SPI","prob_538","prob_diff"
"Algeria","H",0.4652,795,63.4,0.19,-0.2752
"Argentina","F",0.8079,1178,90,0.93,0.1221
"Australia","B",0.143,545,69.4,0.07,-0.073
"Belgium","H",0.7161,1039,82,0.77,0.0539000000000001
"Bosnia and Herzegovina","F",0.5166,795,80.3,0.56,0.0434000000000001
"Brazil","A",0.7657,1210,91.8,0.99,0.2243
"Cameroon","A",0.2053,583,71.3,0.23,0.0247
"Chile","B",0.5708,1037,86.7,0.7,0.1292
"Colombia","C",0.7332,1186,85.8,0.79,0.0568000000000001
"Costa Rica","D",0.2437,748,74.2,0.3,0.0563
"Cote d`Ivoire","C",0.4122,830,78.9,0.53,0.1178
"Croatia","A",0.5121,871,75.7,0.37,-0.1421
"Ecuador","E",0.3877,794,80.6,0.56,0.1723
"England","D",0.5223,1043,83.2,0.62,0.0977
"France","E",0.5465,935,86.1,0.8,0.2535
"Germany","G",0.7027,1340,88.9,0.89,0.1873
"Ghana","G",0.1849,713,76.4,0.3,0.1151
"Greece","C",0.6634,1082,76.7,0.38,-0.2834
"Honduras","E",0.3431,759,69.6,0.2,-0.1431
"Iran","F",0.384,715,70.7,0.19,-0.194
"Italy","D",0.5892,1115,79.5,0.45,-0.1392
"Japan","C",0.1915,613,73.5,0.3,0.1085
"Korea Republic","H",0.1953,551,73.6,0.42,0.2247
"Mexico","A",0.5172,877,76.9,0.4,-0.1172
"Netherlands","B",0.5057,967,82.5,0.43,-0.0757
"Nigeria","F",0.2919,631,75.2,0.32,0.0281
"Portugal","G",0.6678,1245,79.8,0.45,-0.2178
"Russia","H",0.6236,903,79,0.62,-0.00360000000000005
"Spain","B",0.7805,1460,89.1,0.8,0.0195000000000001
"Switzerland","E",0.7229,1161,78,0.45,-0.2729
"United States","G",0.4447,1015,77.4,0.36,-0.0847
"Uruguay","D",0.645,1181,83.3,0.65,0.005
